Location,GROUP_ID,Sample_Type,SAMPLE_DATE,Year,Coupon_Date_Install,Coupon_Date_Pulled,Days_Installed,Coupon_Number,MPY,Corr_Inhib_Residual_PPM,BA_SRB_Bottle_Turn,BA_APB_Bottle_Turn,Biocide Residual
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Corrosion Coupon,12/28/2011,2011,12/28/2011,5/24/2012,148,G6510,0.009,,,,
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Corrosion Residual,12/28/2011,2011,,,,,,11,,,
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Bacteria,12/28/2011,2011,,,,,,,0,0,
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Biocide Residual,12/28/2011,2011,,,,,,,,,4500
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Coupon,12/28/2011,2011,12/28/2011,5/24/2012,148,G6480,0.03,,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Residual,12/28/2011,2011,,,,,,190,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Bacteria,12/28/2011,2011,,,,,,,0,0,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Biocide Residual,12/28/2011,2011,,,,,,,,,4150
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Corrosion Coupon,12/28/2011,2011,12/28/2011,5/24/2012,148,G6484,0.03,,,,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Corrosion Residual,12/28/2011,2011,,,,,,37,,,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Bacteria,12/28/2011,2011,,,,,,,2,3,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Biocide Residual,12/28/2011,2011,,,,,,,,,20
Wideawake from Kansas -WaterTrap,FLEMING - WIDE AWAKE,Corrosion Coupon,12/30/2011,2011,12/30/2011,6/29/2012,182,G6488,0.01,,,,
Haven Sta. to Arlington Jct. receiver  -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,4/13/2012,2012,4/13/2012,10/23/2012,193,D2656,0.84,,,,
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Corrosion Coupon,4/18/2012,2012,4/18/2012,10/22/2012,187,D2659,0.03,,,,
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Bacteria,4/18/2012,2012,,,,,,,0,1,
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Biocide Residual,4/18/2012,2012,,,,,,,,,
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Corrosion Coupon,4/18/2012,2012,4/18/2012,10/23/2012,188,D2657,0.02,,,,
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Bacteria,4/18/2012,2012,,,,,,,0,1,
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Biocide Residual,4/18/2012,2012,,,,,,,,,2550
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Corrosion Coupon,4/18/2012,2012,4/18/2012,10/22/2012,187,D2658,0.04,,,,
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Bacteria,4/18/2012,2012,,,,,,,0,1,
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Biocide Residual,4/18/2012,2012,,,,,,,,,445
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Corrosion Coupon,4/18/2012,2012,4/18/2012,10/22/2012,187,D2652,0.08,,,,
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Bacteria,4/18/2012,2012,,,,,,,1,0,
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Biocide Residual,4/18/2012,2012,,,,,,,,,445
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Corrosion Coupon,4/18/2012,2012,4/18/2012,10/22/2012,187,D2653,0.04,,,,
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Bacteria,4/18/2012,2012,,,,,,,0,1,
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Biocide Residual,4/18/2012,2012,,,,,,,,,445
Arlington Jct. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,4/19/2012,2012,4/19/2012,10/23/2012,187,D2651,0.44,,,,
Arlington Jct. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Bacteria,4/19/2012,2012,,,,,,,3,6,
Arlington Jct. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,4/19/2012,2012,,,,,,,,,4
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Corrosion Coupon,4/19/2012,2012,4/19/2012,10/25/2012,189,D2382,1.47,,,,
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Bacteria,4/19/2012,2012,,,,,,,1,3,
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Biocide Residual,4/19/2012,2012,,,,,,,,,440
Burrton Sta. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,4/19/2012,2012,4/19/2012,10/23/2012,187,D2654,0.88,,,,
Burrton Sta. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Bacteria,4/19/2012,2012,,,,,,,6,4,
Burrton Sta. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,4/19/2012,2012,,,,,,,,,5
Haven Sta. to Burrton Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,4/19/2012,2012,4/19/2012,10/23/2012,187,D2650,0.08,,,,
Haven Sta. to Burrton Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Bacteria,4/19/2012,2012,,,,,,,1,1,
Haven Sta. to Burrton Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,4/19/2012,2012,,,,,,,,,445
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Corrosion Coupon,4/19/2012,2012,4/19/2012,10/23/2012,187,D2383,1.99,,,,
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Bacteria,4/19/2012,2012,,,,,,,0,1,
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Biocide Residual,4/19/2012,2012,,,,,,,,,450
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Corrosion Coupon,4/19/2012,2012,4/19/2012,10/23/2012,187,D2640,0.11,,,,
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Bacteria,4/19/2012,2012,,,,,,,1,1,
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Biocide Residual,4/19/2012,2012,,,,,,,,,470
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Residual,5/4/2012,2012,5/24/2012,11/8/2012,168,,,14,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Biocide Residual,5/4/2012,2012,,,,,,,,,3100
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Residual,5/4/2012,2012,,,,,,15,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Biocide Residual,5/4/2012,2012,,,,,,,,,45
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Coupon,5/24/2012,2012,5/24/2012,11/8/2012,168,G6440,0.27,,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Residual,5/24/2012,2012,,,,,,31,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Bacteria,5/24/2012,2012,,,,,,,0,0,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Biocide Residual,5/24/2012,2012,,,,,,,,,3500
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Coupon,5/24/2012,2012,5/24/2012,11/8/2012,168,G6441,0.05,,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Bacteria,5/24/2012,2012,,,,,,,0,0,
Cushing WC 1 -WaterTrap,CUSHING TERMINAL,Corrosion Coupon,5/24/2012,2012,5/4/2012,11/8/2012,188,G6447,0.21,,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Coupon,5/24/2012,2012,5/24/2012,11/8/2012,168,G6442,0.47,,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Bacteria,5/24/2012,2012,,,,,,,2,3,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Coupon,5/24/2012,2012,5/24/2012,11/8/2012,168,G6448,0.01,,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Residual,5/24/2012,2012,,,,,,190,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Bacteria,5/24/2012,2012,,,,,,,0,0,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Biocide Residual,5/24/2012,2012,,,,,,,,,4150
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Corrosion Coupon,5/24/2012,2012,5/24/2012,11/8/2012,168,G6439,0.16,,,,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Corrosion Residual,5/24/2012,2012,,,,,,37,,,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Bacteria,5/24/2012,2012,,,,,,,2,3,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Biocide Residual,5/24/2012,2012,,,,,,,,,20
Wideawake from Kansas -WaterTrap,FLEMING - WIDE AWAKE,Corrosion Coupon,5/24/2012,2012,6/29/2012,11/13/2012,137,G6653,0.007,,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Coupon,11/8/2012,2012,11/8/2012,4/16/2013,159,G6777,0.02,,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Bacteria,11/8/2012,2012,,,,,,,2,2,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Residual,11/8/2012,2012,11/8/2012,4/16/2013,159,,,4175,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Biocide Residual,11/8/2012,2012,,,,,,,,,230
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Coupon,11/8/2012,2012,11/8/2012,4/16/2013,159,G6773,0.05,,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Bacteria,11/8/2012,2012,,,,,,,0,0,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Residual,11/8/2012,2012,11/8/2012,4/16/2013,159,,,5325,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Biocide Residual,11/8/2012,2012,,,,,,,,,455
Cushing WC 1 -WaterTrap,CUSHING TERMINAL,Corrosion Coupon,11/8/2012,2012,11/8/2012,4/16/2013,159,G6772,0.11,,,,
Cushing WC 1 -WaterTrap,CUSHING TERMINAL,Bacteria,11/8/2012,2012,,,,,,,0,0,
Cushing WC 1 -WaterTrap,CUSHING TERMINAL,Corrosion Residual,11/8/2012,2012,11/8/2012,4/16/2013,159,,,2675,,,
Cushing WC 1 -WaterTrap,CUSHING TERMINAL,Biocide Residual,11/8/2012,2012,,,,,,,,,55
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Coupon,11/8/2012,2012,11/8/2012,4/16/2013,159,G6780,0.03,,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Bacteria,11/8/2012,2012,,,,,,,0,0,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Residual,11/8/2012,2012,11/8/2012,4/16/2013,159,,,2475,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Biocide Residual,11/8/2012,2012,,,,,,,,,500
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Corrosion Coupon,11/8/2012,2012,11/8/2012,4/16/2013,159,G6779,0.01,,,,
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Bacteria,11/8/2012,2012,,,,,,,1,0,
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Corrosion Residual,11/8/2012,2012,11/8/2012,4/16/2013,159,,,23.2,,,
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Biocide Residual,11/8/2012,2012,,,,,,,,,190
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Corrosion Coupon,11/8/2012,2012,5/24/2012,11/8/2012,168,G6443,0.004,,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Coupon,11/8/2012,2012,11/8/2012,4/16/2013,159,G6781,0.03,,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Bacteria,11/8/2012,2012,,,,,,,0,4,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Residual,11/8/2012,2012,11/8/2012,4/16/2013,159,,,29.4,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Biocide Residual,11/8/2012,2012,,,,,,,,,45
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Corrosion Coupon,11/8/2012,2012,11/8/2012,4/16/2013,159,G6778,0.02,,,,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Bacteria,11/8/2012,2012,,,,,,,1,1,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Corrosion Residual,11/8/2012,2012,11/8/2012,4/16/2013,159,,,5.3,,,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Biocide Residual,11/8/2012,2012,,,,,,,,,5
"Arlington Jct. to Cunningham Sta., receiver -WaterTrap",ARLINGTON-CUNNINGHAM,Corrosion Coupon,4/22/2013,2013,12/18/2012,4/22/2013,125,D2890,0.21,,,,
"Arlington Jct. to Cunningham Sta., receiver -WaterTrap",ARLINGTON-CUNNINGHAM,Bacteria,4/22/2013,2013,,,,,,,3,3,
"Arlington Jct. to Cunningham Sta., receiver -WaterTrap",ARLINGTON-CUNNINGHAM,Biocide Residual,4/22/2013,2013,,,,,,,,,10
Cunningham to Isabel Jct. receiver -WaterTrap,CUNNINGHAM TO ISABEL TRUNK,Corrosion Coupon,4/22/2013,2013,10/24/2012,4/22/2013,180,D2888,0.002,,,,
Cunningham to Isabel Jct. receiver -WaterTrap,CUNNINGHAM TO ISABEL TRUNK,Bacteria,4/22/2013,2013,,,,,,,0,0,
Cunningham to Isabel Jct. receiver -WaterTrap,CUNNINGHAM TO ISABEL TRUNK,Biocide Residual,4/22/2013,2013,,,,,,,,,445
Whelan Sta. to Isabel Jct. receiver -WaterTrap,WHELAN TO ISABEL TRUNK,Corrosion Coupon,4/22/2013,2013,10/24/2012,4/22/2013,180,D2889,0.009,,,,
Whelan Sta. to Isabel Jct. receiver -WaterTrap,WHELAN TO ISABEL TRUNK,Bacteria,4/22/2013,2013,,,,,,,3,3,
Whelan Sta. to Isabel Jct. receiver -WaterTrap,WHELAN TO ISABEL TRUNK,Biocide Residual,4/22/2013,2013,,,,,,,,,445
Wideawake from Kansas -WaterTrap,FLEMING - WIDE AWAKE,Corrosion Coupon,5/14/2013,2013,11/13/2012,5/14/2013,182,G6775,0.01,,,,
Arlington Jct. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,10/14/2013,2013,4/17/2013,10/15/2013,181,D2945,2.19,,,,
Arlington Jct. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Bacteria,10/14/2013,2013,,,,,,,5,4,
Arlington Jct. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,10/14/2013,2013,,,,,,,,,15
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Corrosion Coupon,10/14/2013,2013,4/15/2013,10/15/2013,183,D2953,0.03,,,,
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Bacteria,10/14/2013,2013,,,,,,,0,0,
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Biocide Residual,10/14/2013,2013,,,,,,,,,450
Burrton Sta. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,10/14/2013,2013,4/17/2013,10/15/2013,181,D2944,0.11,,,,
Burrton Sta. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Bacteria,10/14/2013,2013,,,,,,,2,2,
Burrton Sta. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,10/14/2013,2013,,,,,,,,,5
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Corrosion Coupon,10/14/2013,2013,4/18/2013,10/14/2013,179,D2820,0.03,,,,
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Bacteria,10/14/2013,2013,,,,,,,0,0,
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Biocide Residual,10/14/2013,2013,,,,,,,,,435
Haven Sta. to Arlington Jct. receiver  -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,10/14/2013,2013,4/17/2013,10/15/2013,181,D2946,0.03,,,,
Haven Sta. to Arlington Jct. receiver  -WaterTrap,ARLINGTON-BURRTON,Bacteria,10/14/2013,2013,,,,,,,1,1,
Haven Sta. to Arlington Jct. receiver  -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,10/14/2013,2013,,,,,,,,,465
Haven Sta. to Burrton Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,10/14/2013,2013,4/17/2013,10/15/2013,181,D2942,0.02,,,,
Haven Sta. to Burrton Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Bacteria,10/14/2013,2013,,,,,,,1,1,
Haven Sta. to Burrton Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,10/14/2013,2013,,,,,,,,,5
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Corrosion Coupon,10/14/2013,2013,4/18/2013,10/14/2013,179,D2947,0.21,,,,
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Bacteria,10/14/2013,2013,,,,,,,0,2,
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Biocide Residual,10/14/2013,2013,,,,,,,,,440
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Corrosion Coupon,10/14/2013,2013,4/18/2013,10/14/2013,179,D2940,0.78,,,,
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Bacteria,10/14/2013,2013,,,,,,,0,1,
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Biocide Residual,10/14/2013,2013,,,,,,,,,435
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Corrosion Coupon,10/14/2013,2013,4/17/2013,10/15/2013,181,D2941,0.03,,,,
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Bacteria,10/14/2013,2013,,,,,,,0,1,
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Biocide Residual,10/14/2013,2013,,,,,,,,,4665
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Corrosion Coupon,10/14/2013,2013,4/18/2013,10/14/2013,179,D2823,0.06,,,,
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Bacteria,10/14/2013,2013,,,,,,,5,1,
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Biocide Residual,10/14/2013,2013,,,,,,,,,435
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Corrosion Coupon,10/14/2013,2013,4/18/2013,10/14/2013,179,D2822,0.03,,,,
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Bacteria,10/14/2013,2013,,,,,,,0,2,
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Biocide Residual,10/14/2013,2013,,,,,,,,,430
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Corrosion Coupon,10/14/2013,2013,4/17/2013,10/15/2013,181,D2943,0.22,,,,
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Bacteria,10/14/2013,2013,,,,,,,0,2,
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Biocide Residual,10/14/2013,2013,,,,,,,,,4650
"Wieland 6"" -WaterTrap",WEILAND TO HANSTON,Corrosion Coupon,10/14/2013,2013,4/18/2013,10/14/2013,179,D2821,0.66,,,,
"Wieland 6"" -WaterTrap",WEILAND TO HANSTON,Bacteria,10/14/2013,2013,,,,,,,0,0,
"Wieland 6"" -WaterTrap",WEILAND TO HANSTON,Biocide Residual,10/14/2013,2013,,,,,,,,,10
Haven Sta. to Schulte Jct. -WaterTrap,KANSAS - OKLAHOMA,Corrosion Coupon,10/15/2013,2013,4/15/2013,10/15/2013,183,D2948,0.35,,,,
Haven Sta. to Schulte Jct. -WaterTrap,KANSAS - OKLAHOMA,Bacteria,10/15/2013,2013,,,,,,,3,5,
Haven Sta. to Schulte Jct. -WaterTrap,KANSAS - OKLAHOMA,Biocide Residual,10/15/2013,2013,,,,,,,,,365
Schulte Jct. to Wichita Station -WaterTrap,KANSAS - OKLAHOMA,Corrosion Coupon,10/15/2013,2013,4/15/2013,10/15/2013,183,D2949,0.24,,,,
"Arlington Jct. to Cunningham Sta., receiver -WaterTrap",ARLINGTON-CUNNINGHAM,Corrosion Coupon,10/22/2013,2013,4/22/2013,10/22/2013,183,D2891,0.99,,,,
"Arlington Jct. to Cunningham Sta., receiver -WaterTrap",ARLINGTON-CUNNINGHAM,Bacteria,10/22/2013,2013,,,,,,,5,4,
"Arlington Jct. to Cunningham Sta., receiver -WaterTrap",ARLINGTON-CUNNINGHAM,Biocide Residual,10/22/2013,2013,,,,,,,,,10
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Coupon,10/22/2013,2013,4/16/2013,10/22/2013,189,G6972,0.17,,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Bacteria,10/22/2013,2013,,,,,,,3,3,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Biocide Residual,10/22/2013,2013,,,,,,,,,5
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Residual,10/22/2013,2013,,,,,,7.3,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Residual,10/22/2013,2013,,,,,,7.3,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Biocide Residual,10/22/2013,2013,,,,,,,,,5
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Coupon,10/22/2013,2013,4/16/2013,10/22/2013,189,G6971,1.63,,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Bacteria,10/22/2013,2013,,,,,,,2,1,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Biocide Residual,10/22/2013,2013,,,,,,,,,40
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Residual,10/22/2013,2013,,,,,,6.8,,,
Cunningham to Isabel Jct. receiver -WaterTrap,CUNNINGHAM TO ISABEL TRUNK,Corrosion Coupon,10/22/2013,2013,4/22/2013,10/22/2013,183,D2893,0.25,,,,
Cunningham to Isabel Jct. receiver -WaterTrap,CUNNINGHAM TO ISABEL TRUNK,Bacteria,10/22/2013,2013,,,,,,,4,5,
Cunningham to Isabel Jct. receiver -WaterTrap,CUNNINGHAM TO ISABEL TRUNK,Biocide Residual,10/22/2013,2013,,,,,,,,,30
"Cushing Terminal from West 20"" -WaterTrap",SEE TO SOUTH CIMARRON JCT,Corrosion Coupon,10/22/2013,2013,3/14/2013,10/22/2013,222,G6946,0.25,,,,
Cushing WC 1 -WaterTrap,CUSHING TERMINAL,Corrosion Coupon,10/22/2013,2013,4/16/2013,10/22/2013,189,G6974,0.3,,,,
Cushing WC 1 -WaterTrap,CUSHING TERMINAL,Bacteria,10/22/2013,2013,,,,,,,0,0,
Isabel Jct. to Fleming Sta. -WaterTrap,ISABEL TO FLEMING TRUNK,Corrosion Coupon,10/22/2013,2013,4/22/2013,10/22/2013,183,D2892,0.04,,,,
Isabel Jct. to Fleming Sta. -WaterTrap,ISABEL TO FLEMING TRUNK,Bacteria,10/22/2013,2013,,,,,,,1,0,
Isabel Jct. to Fleming Sta. -WaterTrap,ISABEL TO FLEMING TRUNK,Biocide Residual,10/22/2013,2013,,,,,,,,,430
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Coupon,10/22/2013,2013,4/16/2013,10/22/2013,189,G6990,0.03,,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Bacteria,10/22/2013,2013,,,,,,,1,0,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Biocide Residual,10/22/2013,2013,,,,,,,,,430
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Residual,10/22/2013,2013,,,,,,45.5,,,
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Corrosion Coupon,10/22/2013,2013,4/16/2013,10/22/2013,189,G6989,0.01,,,,
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Corrosion Residual,10/22/2013,2013,,,,,,45.5,,,
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Biocide Residual,10/22/2013,2013,,,,,,,,,430
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Coupon,10/22/2013,2013,4/16/2013,10/22/2013,189,G6975,0.15,,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Bacteria,10/22/2013,2013,,,,,,,1,2,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Biocide Residual,10/22/2013,2013,,,,,,,,,375
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Residual,10/22/2013,2013,,,,,,73,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Residual,10/22/2013,2013,,,,,,73,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Biocide Residual,10/22/2013,2013,,,,,,,,,375
